R,V,S,E,P,H,landslide
0.564,0.602,0.299,0.806,0.836,0.211,1
0.575,0.621,0.796,0.839,0.429,0.598,0
0.065,0.954,0.913,0.291,0.429,0.19,1
0.701,0.817,0.67,0.314,0.671,0.586,1
0.527,0.39,0.656,0.279,0.336,0.419,1
0.261,0.46,0.758,0.574,0.704,0.425,1
0.074,0.559,0.906,0.606,0.142,0.375,0
0.701,0.64,0.676,0.841,0.395,0.153,1
0.456,0.364,0.712,0.141,0.119,0.576,0
0.453,0.6,0.859,0.361,0.934,0.629,1
0.756,0.267,0.729,0.463,0.303,0.302,1
0.656,0.843,0.562,0.934,0.385,0.659,0
0.534,0.054,0.633,0.404,0.493,0.603,0
0.424,0.526,0.836,0.299,0.424,0.719,1
0.352,0.089,0.82,0.619,0.879,0.426,1
0.557,0.303,0.277,0.889,0.5,0.636,1
0.578,0.725,0.348,0.171,0.281,0.611,1
0.646,0.762,0.895,0.547,0.337,0.521,0
0.457,0.186,0.816,0.496,0.707,0.588,1
0.38,0.802,0.223,0.719,0.493,0.036,1
0.248,0.399,0.761,0.588,0.339,0.592,0
0.684,0.285,0.464,0.692,0.255,0.244,1
0.237,0.575,0.537,0.849,0.592,0.561,0
0.464,0.141,0.17,0.327,0.739,0.434,1
0.681,0.806,0.218,0.239,0.696,0.395,1
0.558,0.61,0.591,0.414,0.318,0.343,0
0.912,0.146,0.302,0.54,0.38,0.624,1
0.209,0.207,0.408,0.578,0.501,0.832,1
0.703,0.436,0.593,0.404,0.414,0.074,0
0.548,0.492,0.67,0.612,0.301,0.07,1
0.112,0.869,0.444,0.035,0.866,0.301,1
0.648,0.174,0.687,0.793,0.639,0.38,1
0.481,0.576,0.414,0.604,0.698,0.152,0
0.151,0.399,0.811,0.589,0.293,0.328,1
0.231,0.575,0.747,0.818,0.424,0.471,1
0.55,0.876,0.801,0.643,0.887,0.478,1
0.537,0.368,0.483,0.395,0.207,0.641,1
0.533,0.586,0.95,0.19,0.291,0.632,1
0.816,0.125,0.648,0.725,0.127,0.624,0
0.371,0.392,0.495,0.233,0.664,0.923,1
0.244,0.967,0.289,0.332,0.352,0.514,1
0.6,0.878,0.966,0.457,0.478,0.586,1
0.917,0.473,0.218,0.255,0.588,0.498,1
0.134,0.172,0.521,0.467,0.167,0.465,0
0.281,0.709,0.844,0.402,0.282,0.887,1
0.334,0.237,0.791,0.514,0.45,0.472,1
0.782,0.33,0.689,0.952,0.243,0.744,1
0.485,0.274,0.519,0.131,0.254,0.879,1
0.567,0.8,0.356,0.81,0.709,0.361,0
0.6,0.402,0.95,0.878,0.579,0.241,1
0.297,0.61,0.722,0.676,0.251,0.344,0
0.481,0.472,0.546,0.166,0.674,0.555,1
0.202,0.686,0.553,0.465,0.791,0.617,0
0.577,0.897,0.286,0.334,0.469,0.734,0
0.778,0.591,0.853,0.742,0.547,0.422,0
0.51,0.289,0.272,0.619,0.693,0.143,0
0.688,0.58,0.939,0.711,0.082,0.374,1
0.607,0.335,0.642,0.803,0.27,0.699,1
0.16,0.628,0.072,0.373,0.516,0.443,1
0.347,0.687,0.687,0.572,0.804,0.465,1
0.931,0.251,0.267,0.254,0.336,0.517,1
0.859,0.815,0.561,0.167,0.52,0.509,1
0.492,0.137,0.851,0.172,0.842,0.601,1
0.144,0.378,0.561,0.298,0.453,0.233,0
0.524,0.613,0.511,0.64,0.583,0.641,0
0.435,0.964,0.868,0.627,0.512,0.872,0
0.348,0.239,0.871,0.206,0.564,0.38,1
0.441,0.983,0.449,0.475,0.13,0.229,0
0.132,0.637,0.914,0.188,0.571,0.167,0
0.138,0.209,0.367,0.256,0.496,0.41,0
0.778,0.151,0.229,0.199,0.791,0.355,1
0.057,0.512,0.581,0.479,0.249,0.207,0
0.354,0.383,0.607,0.428,0.224,0.488,1
0.682,0.574,0.967,0.863,0.926,0.106,1
0.578,0.347,0.882,0.828,0.638,0.705,0
0.466,0.61,0.62,0.45,0.247,0.515,1
0.187,0.425,0.153,0.46,0.267,0.816,0
0.375,0.509,0.7,0.734,0.151,0.406,1
0.699,0.874,0.663,0.154,0.322,0.139,0
0.51,0.596,0.696,0.304,0.558,0.745,0
0.416,0.366,0.795,0.248,0.286,0.383,1
0.493,0.723,0.86,0.582,0.494,0.36,1
0.837,0.404,0.774,0.16,0.281,0.699,0
0.3,0.421,0.632,0.322,0.388,0.545,0
0.626,0.703,0.555,0.795,0.749,0.863,1
0.565,0.577,0.818,0.704,0.116,0.753,0
0.537,0.552,0.502,0.822,0.136,0.68,1
0.221,0.87,0.547,0.539,0.368,0.205,0
0.586,0.754,0.566,0.25,0.724,0.534,1
0.219,0.42,0.414,0.342,0.366,0.906,1
0.542,0.553,0.769,0.468,0.652,0.723,0
0.671,0.258,0.595,0.776,0.213,0.132,1
0.433,0.354,0.525,0.471,0.623,0.393,0
0.73,0.416,0.838,0.124,0.318,0.35,0
0.669,0.821,0.611,0.551,0.428,0.86,1
0.484,0.775,0.497,0.392,0.733,0.392,1
0.631,0.756,0.383,0.207,0.534,0.462,1
0.506,0.232,0.683,0.286,0.548,0.925,1
0.234,0.881,0.877,0.129,0.722,0.599,0
0.259,0.427,0.564,0.466,0.934,0.394,1
0.328,0.306,0.443,0.252,0.588,0.374,1
0.271,0.481,0.977,0.659,0.251,0.668,1
0.679,0.302,0.303,0.583,0.191,0.813,1
0.057,0.53,0.749,0.137,0.24,0.464,0
0.26,0.3,0.694,0.926,0.525,0.739,1
0.215,0.704,0.312,0.201,0.635,0.217,1
0.943,0.263,0.473,0.883,0.163,0.163,0
0.826,0.415,0.879,0.462,0.493,0.407,1
0.513,0.705,0.831,0.089,0.61,0.696,1
0.164,0.681,0.504,0.406,0.424,0.135,1
0.122,0.857,0.62,0.744,0.686,0.29,0
0.563,0.653,0.824,0.044,0.771,0.185,0
0.56,0.315,0.669,0.702,0.537,0.798,1
0.77,0.466,0.815,0.403,0.613,0.573,1
0.744,0.654,0.333,0.18,0.173,0.525,0
0.581,0.316,0.692,0.585,0.642,0.367,1
0.492,0.803,0.621,0.435,0.648,0.56,1
0.788,0.34,0.737,0.744,0.783,0.533,1
0.127,0.181,0.693,0.485,0.501,0.668,1
0.846,0.47,0.774,0.181,0.733,0.389,1
0.679,0.382,0.599,0.388,0.641,0.756,1
0.633,0.429,0.601,0.805,0.395,0.816,1
0.648,0.793,0.62,0.45,0.329,0.66,1
0.406,0.155,0.55,0.46,0.155,0.047,1
0.385,0.724,0.631,0.612,0.234,0.548,1
0.901,0.819,0.437,0.432,0.691,0.197,0
0.508,0.299,0.938,0.96,0.258,0.318,1
0.946,0.746,0.711,0.393,0.535,0.389,1
0.304,0.518,0.814,0.318,0.419,0.776,1
0.374,0.434,0.849,0.854,0.708,0.707,1
0.682,0.478,0.454,0.619,0.581,0.672,1
0.378,0.594,0.571,0.855,0.101,0.322,0
0.7,0.619,0.451,0.485,0.044,0.224,1
0.096,0.766,0.873,0.546,0.227,0.019,0
0.509,0.57,0.539,0.668,0.304,0.704,1
0.39,0.908,0.887,0.94,0.326,0.054,1
0.187,0.811,0.586,0.488,0.897,0.703,1
0.474,0.088,0.978,0.712,0.69,0.023,1
0.778,0.35,0.715,0.127,0.145,0.303,1
0.191,0.741,0.838,0.821,0.402,0.634,0
0.598,0.625,0.654,0.316,0.544,0.078,0
0.275,0.452,0.35,0.56,0.345,0.549,1
0.676,0.781,0.76,0.91,0.639,0.721,1
0.395,0.73,0.637,0.702,0.042,0.266,1
0.509,0.403,0.217,0.418,0.146,0.02,1
0.228,0.296,0.444,0.47,0.5,0.058,1
0.349,0.425,0.809,0.519,0.123,0.063,1
0.144,0.851,0.758,0.709,0.471,0.54,1
0.778,0.515,0.768,0.678,0.434,0.727,1
0.354,0.72,0.752,0.242,0.581,0.715,1
0.504,0.374,0.837,0.777,0.148,0.399,1
0.451,0.663,0.572,0.871,0.551,0.575,1
0.28,0.604,0.89,0.316,0.586,0.75,0
0.661,0.709,0.537,0.191,0.724,0.645,1
0.252,0.252,0.667,0.584,0.552,0.849,1
0.196,0.399,0.515,0.177,0.552,0.446,1
0.812,0.714,0.772,0.75,0.924,0.306,0
0.626,0.346,0.222,0.11,0.665,0.582,1
0.329,0.623,0.839,0.369,0.743,0.179,1
0.614,0.211,0.487,0.629,0.272,0.723,1
0.548,0.47,0.503,0.677,0.386,0.894,1
0.367,0.388,0.579,0.419,0.601,0.588,0
0.444,0.439,0.128,0.293,0.097,0.779,1
0.498,0.175,0.549,0.795,0.547,0.208,0
0.838,0.711,0.697,0.635,0.748,0.602,1
0.736,0.606,0.671,0.511,0.53,0.409,1
0.634,0.61,0.633,0.425,0.345,0.273,0
0.449,0.89,0.28,0.954,0.718,0.509,1
0.332,0.595,0.698,0.285,0.733,0.506,1
0.427,0.621,0.726,0.521,0.622,0.664,1
0.85,0.115,0.637,0.162,0.363,0.221,1
0.717,0.857,0.581,0.463,0.593,0.663,1
0.537,0.577,0.959,0.661,0.13,0.499,0
0.253,0.647,0.233,0.355,0.392,0.244,0
0.314,0.771,0.355,0.665,0.708,0.515,1
0.591,0.39,0.358,0.857,0.133,0.37,1
0.155,0.256,0.739,0.403,0.18,0.635,1
0.403,0.568,0.602,0.593,0.308,0.228,1
0.582,0.581,0.514,0.494,0.564,0.543,0
0.159,0.825,0.879,0.578,0.399,0.201,1
0.298,0.175,0.587,0.535,0.43,0.478,1
0.405,0.346,0.517,0.424,0.669,0.053,1
0.725,0.356,0.376,0.559,0.554,0.847,1
0.488,0.361,0.914,0.391,0.356,0.688,1
0.834,0.718,0.301,0.472,0.82,0.219,0
0.705,0.976,0.579,0.444,0.946,0.176,0
0.597,0.435,0.562,0.627,0.772,0.229,0
0.548,0.742,0.599,0.923,0.53,0.683,1
0.428,0.515,0.447,0.524,0.803,0.23,0
0.789,0.943,0.765,0.611,0.336,0.222,1
0.675,0.618,0.802,0.314,0.584,0.549,0
0.629,0.184,0.361,0.249,0.176,0.281,1
0.318,0.223,0.871,0.868,0.41,0.629,0
0.104,0.741,0.662,0.659,0.421,0.81,0
0.502,0.228,0.679,0.707,0.329,0.678,0
0.453,0.345,0.898,0.943,0.4,0.716,1
0.721,0.213,0.928,0.9,0.613,0.113,1
0.673,0.674,0.612,0.511,0.23,0.265,1
0.645,0.76,0.892,0.348,0.39,0.552,1
0.825,0.29,0.635,0.853,0.401,0.784,1
0.695,0.361,0.801,0.52,0.36,0.927,1
0.557,0.555,0.809,0.273,0.75,0.27,1
0.665,0.435,0.943,0.737,0.525,0.839,0
0.437,0.483,0.643,0.85,0.346,0.664,1
0.626,0.184,0.584,0.459,0.827,0.525,1
0.687,0.525,0.089,0.356,0.062,0.47,0
0.69,0.271,0.722,0.242,0.392,0.603,1
0.058,0.589,0.545,0.82,0.286,0.554,1
0.534,0.563,0.43,0.539,0.486,0.296,0
0.977,0.456,0.675,0.381,0.241,0.839,1
0.149,0.262,0.649,0.983,0.446,0.808,0
0.654,0.267,0.613,0.472,0.828,0.702,1
0.586,0.66,0.63,0.656,0.176,0.751,1
0.718,0.459,0.727,0.768,0.692,0.696,1
0.855,0.414,0.333,0.362,0.549,0.521,0
0.282,0.845,0.346,0.704,0.467,0.803,0
0.561,0.408,0.986,0.536,0.466,0.4,1
0.275,0.411,0.826,0.76,0.203,0.736,1
0.599,0.329,0.273,0.886,0.61,0.163,1
0.559,0.678,0.474,0.66,0.428,0.769,1
0.121,0.613,0.924,0.626,0.484,0.193,1
0.569,0.547,0.674,0.233,0.059,0.776,1
0.64,0.492,0.526,0.586,0.768,0.479,1
0.569,0.38,0.74,0.081,0.437,0.362,1
0.263,0.53,0.349,0.54,0.61,0.449,1
0.29,0.282,0.226,0.877,0.721,0.465,1
0.908,0.279,0.831,0.816,0.736,0.608,0
0.38,0.435,0.927,0.239,0.423,0.368,0
0.166,0.71,0.489,0.228,0.812,0.49,1
0.287,0.24,0.145,0.969,0.875,0.312,1
0.49,0.68,0.683,0.274,0.491,0.054,1
0.523,0.691,0.678,0.289,0.613,0.87,1
0.709,0.357,0.654,0.614,0.582,0.688,1
0.418,0.694,0.419,0.591,0.305,0.315,0
0.444,0.607,0.841,0.312,0.366,0.325,0
0.561,0.083,0.817,0.399,0.583,0.209,0
0.803,0.136,0.957,0.564,0.574,0.444,1
0.601,0.962,0.161,0.768,0.526,0.536,1
0.551,0.367,0.809,0.248,0.184,0.503,1
0.624,0.569,0.642,0.318,0.706,0.581,1
0.547,0.089,0.769,0.58,0.504,0.361,1
0.711,0.748,0.459,0.209,0.587,0.734,0
0.242,0.055,0.367,0.292,0.164,0.181,1
0.292,0.282,0.732,0.474,0.582,0.724,0
0.897,0.473,0.462,0.72,0.672,0.749,1
0.6,0.124,0.606,0.112,0.083,0.338,1
0.832,0.446,0.654,0.486,0.546,0.728,1
0.506,0.674,0.865,0.387,0.641,0.331,0
0.221,0.659,0.602,0.209,0.186,0.275,0
0.843,0.901,0.482,0.816,0.668,0.543,1
0.666,0.791,0.932,0.858,0.376,0.792,0
0.697,0.221,0.565,0.155,0.608,0.411,1
0.272,0.171,0.602,0.431,0.256,0.377,1
0.865,0.599,0.903,0.557,0.574,0.148,0
0.561,0.673,0.468,0.271,0.577,0.211,0
0.799,0.729,0.388,0.362,0.514,0.241,1
0.196,0.83,0.452,0.596,0.836,0.532,0
0.373,0.611,0.982,0.731,0.765,0.326,1
0.75,0.182,0.775,0.416,0.458,0.496,1
0.567,0.326,0.892,0.991,0.799,0.378,0
0.094,0.318,0.673,0.774,0.583,0.185,1
0.524,0.389,0.385,0.52,0.717,0.643,1
0.566,0.132,0.811,0.793,0.811,0.502,1
0.698,0.329,0.603,0.796,0.655,0.421,0
0.481,0.31,0.62,0.253,0.409,0.537,0
0.163,0.178,0.244,0.558,0.344,0.474,0
0.211,0.081,0.905,0.643,0.457,0.572,0
0.154,0.711,0.862,0.187,0.708,0.872,1
0.806,0.493,0.655,0.855,0.569,0.718,1
0.339,0.511,0.832,0.493,0.87,0.132,1
0.604,0.774,0.675,0.768,0.232,0.802,1
0.551,0.432,0.36,0.744,0.363,0.656,0
0.384,0.303,0.545,0.249,0.135,0.639,0
0.374,0.638,0.9,0.796,0.148,0.358,1
0.775,0.615,0.79,0.666,0.874,0.645,0
0.507,0.58,0.814,0.376,0.806,0.145,1
0.652,0.77,0.376,0.406,0.71,0.657,0
0.395,0.522,0.624,0.512,0.439,0.455,0
0.7,0.755,0.568,0.453,0.249,0.37,0
0.761,0.421,0.831,0.267,0.275,0.558,1
0.367,0.536,0.857,0.626,0.218,0.402,1
0.373,0.644,0.56,0.704,0.685,0.334,0
0.428,0.53,0.287,0.191,0.462,0.366,1
0.458,0.436,0.924,0.881,0.655,0.216,1
0.517,0.493,0.357,0.146,0.936,0.606,1
0.05,0.36,0.68,0.723,0.239,0.24,0
0.074,0.834,0.685,0.84,0.418,0.214,1
0.462,0.649,0.503,0.458,0.455,0.938,0
0.32,0.662,0.507,0.115,0.677,0.53,0
0.835,0.145,0.465,0.432,0.288,0.415,1
0.684,0.719,0.556,0.263,0.303,0.56,1
0.485,0.969,0.881,0.549,0.44,0.247,0
0.486,0.736,0.411,0.396,0.54,0.123,0
0.731,0.329,0.732,0.322,0.486,0.324,1
0.417,0.697,0.623,0.698,0.184,0.749,1
0.928,0.748,0.538,0.43,0.781,0.373,1
0.732,0.943,0.746,0.621,0.208,0.28,1
0.824,0.226,0.515,0.536,0.479,0.205,1
0.638,0.465,0.415,0.456,0.347,0.499,1
0.232,0.393,0.35,0.604,0.07,0.845,1
0.258,0.799,0.729,0.434,0.081,0.643,0
0.62,0.586,0.568,0.237,0.541,0.316,1
0.141,0.734,0.508,0.476,0.196,0.529,0
0.275,0.217,0.581,0.47,0.401,0.494,1
0.518,0.154,0.436,0.826,0.819,0.746,1
0.338,0.208,0.346,0.328,0.884,0.323,1
0.384,0.969,0.844,0.69,0.387,0.652,1
0.856,0.147,0.79,0.434,0.845,0.685,1
0.294,0.712,0.831,0.675,0.133,0.52,1
0.675,0.036,0.913,0.472,0.755,0.449,1
0.744,0.541,0.931,0.357,0.321,0.406,1
0.406,0.518,0.251,0.451,0.21,0.809,1
0.549,0.476,0.43,0.1,0.916,0.252,1
0.297,0.598,0.816,0.611,0.472,0.68,0
0.834,0.351,0.419,0.27,0.71,0.72,0
0.706,0.633,0.989,0.65,0.724,0.824,1
0.378,0.488,0.51,0.947,0.479,0.669,1
0.046,0.795,0.509,0.105,0.323,0.396,0
0.583,0.558,0.887,0.446,0.832,0.584,1
0.212,0.114,0.866,0.58,0.614,0.403,1
0.345,0.288,0.646,0.401,0.274,0.571,1
0.77,0.713,0.322,0.208,0.323,0.372,1
0.424,0.629,0.477,0.527,0.468,0.573,0
0.687,0.719,0.829,0.328,0.508,0.591,1
0.508,0.362,0.925,0.275,0.273,0.221,0
0.357,0.24,0.872,0.507,0.718,0.657,0
0.092,0.806,0.798,0.794,0.896,0.642,1
0.784,0.563,0.822,0.068,0.351,0.544,1
0.553,0.596,0.225,0.564,0.643,0.242,0
0.849,0.372,0.59,0.137,0.22,0.555,1
0.095,0.633,0.685,0.105,0.906,0.606,1
0.235,0.653,0.419,0.042,0.797,0.6,0
0.488,0.307,0.587,0.647,0.45,0.765,1
0.419,0.356,0.251,0.632,0.411,0.517,1
0.441,0.524,0.865,0.409,0.655,0.781,1
0.483,0.713,0.972,0.7,0.771,0.222,1
0.389,0.534,0.752,0.482,0.347,0.556,1
0.825,0.617,0.647,0.354,0.656,0.818,1
0.109,0.135,0.476,0.305,0.808,0.497,0
0.228,0.594,0.715,0.315,0.358,0.69,1
0.473,0.814,0.828,0.185,0.766,0.634,0
0.664,0.674,0.745,0.828,0.461,0.943,1
0.417,0.971,0.211,0.629,0.626,0.075,0
0.486,0.151,0.586,0.493,0.697,0.604,1
0.768,0.661,0.642,0.057,0.481,0.351,1
0.413,0.401,0.496,0.827,0.325,0.33,0
0.199,0.208,0.65,0.467,0.422,0.445,1
0.395,0.336,0.821,0.848,0.309,0.547,1
0.132,0.548,0.384,0.338,0.392,0.535,1
0.308,0.141,0.604,0.625,0.558,0.264,0
0.443,0.423,0.842,0.305,0.388,0.294,0
0.511,0.142,0.495,0.285,0.775,0.479,1
0.426,0.578,0.465,0.277,0.736,0.647,1
0.338,0.242,0.313,0.908,0.79,0.461,1
0.246,0.433,0.887,0.192,0.903,0.477,1
0.543,0.3,0.845,0.075,0.452,0.664,0
0.364,0.607,0.435,0.289,0.59,0.499,0
0.172,0.433,0.471,0.489,0.403,0.485,1
0.069,0.327,0.314,0.035,0.699,0.41,0
0.572,0.236,0.222,0.521,0.09,0.781,1
0.167,0.365,0.725,0.423,0.321,0.509,1
0.553,0.424,0.278,0.851,0.522,0.56,0
0.761,0.471,0.635,0.373,0.041,0.487,1
0.342,0.282,0.624,0.268,0.847,0.384,1
0.74,0.782,0.589,0.537,0.125,0.558,0
0.668,0.813,0.538,0.083,0.54,0.74,1
0.631,0.585,0.754,0.419,0.306,0.538,0
0.715,0.18,0.768,0.436,0.045,0.575,1
0.419,0.184,0.449,0.714,0.364,0.965,1
0.42,0.735,0.513,0.643,0.174,0.467,1
0.233,0.179,0.076,0.702,0.356,0.108,0
0.817,0.59,0.531,0.428,0.652,0.589,0
0.358,0.516,0.771,0.627,0.868,0.307,1
0.584,0.184,0.205,0.501,0.297,0.252,0
0.733,0.499,0.853,0.952,0.259,0.752,1
0.666,0.796,0.953,0.472,0.724,0.724,1
0.128,0.824,0.363,0.484,0.15,0.574,1
0.724,0.628,0.298,0.429,0.255,0.273,1
0.385,0.506,0.742,0.386,0.257,0.896,1
0.666,0.703,0.651,0.644,0.826,0.601,1
0.824,0.353,0.625,0.298,0.658,0.559,1
0.516,0.56,0.551,0.679,0.28,0.442,1
0.357,0.468,0.802,0.581,0.388,0.837,1
0.79,0.697,0.917,0.233,0.418,0.136,1
0.914,0.607,0.713,0.737,0.467,0.816,1
0.49,0.34,0.53,0.817,0.068,0.981,1
0.253,0.307,0.585,0.421,0.534,0.462,1
0.811,0.484,0.807,0.655,0.485,0.076,1
0.238,0.357,0.938,0.904,0.808,0.483,0
0.556,0.897,0.897,0.426,0.409,0.18,1
0.991,0.255,0.422,0.49,0.592,0.713,1
0.501,0.468,0.979,0.509,0.639,0.45,0
0.668,0.421,0.7,0.561,0.191,0.649,1
0.209,0.576,0.737,0.856,0.808,0.18,0
0.8,0.525,0.182,0.268,0.268,0.763,1
0.955,0.719,0.587,0.339,0.588,0.367,1
0.6,0.791,0.859,0.31,0.549,0.646,0
0.526,0.137,0.732,0.373,0.488,0.772,0
0.398,0.643,0.477,0.164,0.585,0.169,0
0.349,0.238,0.929,0.218,0.728,0.791,1
0.888,0.679,0.831,0.116,0.653,0.529,1
0.366,0.241,0.915,0.222,0.671,0.485,1
0.223,0.537,0.693,0.486,0.887,0.433,1
0.448,0.599,0.696,0.169,0.322,0.117,1
0.796,0.238,0.429,0.239,0.597,0.228,1
0.481,0.705,0.663,0.877,0.757,0.672,0
0.66,0.42,0.377,0.378,0.331,0.421,0
0.281,0.63,0.457,0.727,0.788,0.853,0
0.575,0.263,0.345,0.149,0.087,0.332,1
0.637,0.514,0.853,0.571,0.504,0.935,1
0.305,0.262,0.807,0.227,0.231,0.251,1
0.034,0.789,0.698,0.296,0.344,0.514,0
0.916,0.564,0.617,0.71,0.215,0.777,1
0.342,0.501,0.363,0.707,0.429,0.463,1
0.461,0.467,0.579,0.868,0.783,0.475,1
0.203,0.508,0.845,0.502,0.963,0.594,0
0.634,0.353,0.808,0.515,0.541,0.143,1
0.771,0.667,0.388,0.172,0.265,0.708,1
0.222,0.797,0.334,0.346,0.101,0.423,0
0.525,0.456,0.521,0.779,0.29,0.523,1
0.63,0.747,0.732,0.038,0.448,0.208,1
0.225,0.393,0.296,0.761,0.85,0.397,0
0.849,0.188,0.211,0.567,0.274,0.192,1
0.626,0.826,0.894,0.324,0.257,0.243,1
0.869,0.756,0.715,0.373,0.261,0.932,1
0.819,0.706,0.954,0.773,0.475,0.862,1
0.061,0.069,0.992,0.682,0.792,0.526,1
0.226,0.181,0.955,0.825,0.204,0.43,1
0.62,0.793,0.581,0.19,0.661,0.396,0
0.188,0.658,0.648,0.909,0.419,0.741,0
0.936,0.801,0.45,0.658,0.536,0.42,1
0.836,0.738,0.219,0.45,0.556,0.255,1
0.405,0.333,0.88,0.5,0.135,0.915,1
0.019,0.635,0.818,0.624,0.442,0.45,1
0.328,0.47,0.562,0.434,0.291,0.722,1
0.618,0.623,0.78,0.075,0.204,0.19,1
0.601,0.193,0.677,0.706,0.636,0.265,1
0.095,0.838,0.399,0.44,0.74,0.114,0
0.121,0.495,0.062,0.588,0.764,0.386,0
0.614,0.77,0.942,0.186,0.39,0.419,1
0.515,0.605,0.687,0.41,0.656,0.891,0
0.725,0.322,0.213,0.391,0.972,0.018,1
0.409,0.768,0.615,0.691,0.731,0.526,0
0.341,0.392,0.657,0.242,0.13,0.365,0
0.865,0.493,0.116,0.637,0.447,0.754,0
0.137,0.452,0.721,0.431,0.506,0.673,0
0.581,0.652,0.379,0.622,0.687,0.866,1
0.162,0.567,0.836,0.502,0.489,0.154,1
0.358,0.408,0.684,0.948,0.497,0.512,1
0.44,0.577,0.946,0.577,0.51,0.765,0
0.597,0.601,0.682,0.102,0.803,0.577,0
0.492,0.853,0.318,0.457,0.594,0.273,0
0.707,0.445,0.564,0.752,0.553,0.448,1
0.14,0.289,0.529,0.433,0.401,0.691,1
0.53,0.229,0.776,0.238,0.468,0.275,1
0.813,0.386,0.329,0.876,0.514,0.124,0
0.185,0.499,0.3,0.297,0.349,0.743,1
0.32,0.5,0.686,0.385,0.487,0.55,0
0.052,0.629,0.664,0.385,0.132,0.549,0
0.672,0.32,0.419,0.219,0.316,0.41,0
0.646,0.743,0.588,0.455,0.247,0.527,1
0.32,0.17,0.194,0.912,0.702,0.26,0
0.427,0.409,0.178,0.747,0.375,0.586,0
0.58,0.705,0.659,0.828,0.43,0.414,1
0.181,0.191,0.338,0.653,0.686,0.265,0
0.368,0.467,0.642,0.135,0.46,0.541,1
0.343,0.563,0.758,0.839,0.464,0.821,1
0.15,0.859,0.707,0.395,0.632,0.308,1
0.61,0.718,0.147,0.293,0.619,0.193,0
0.683,0.538,0.967,0.854,0.364,0.348,1
0.512,0.637,0.774,0.256,0.753,0.66,1
0.392,0.148,0.341,0.792,0.177,0.684,1
0.691,0.287,0.538,0.198,0.53,0.241,0
0.346,0.404,0.545,0.347,0.321,0.421,1
0.186,0.245,0.792,0.019,0.8,0.105,1
0.817,0.418,0.312,0.826,0.953,0.974,1
0.473,0.412,0.943,0.532,0.275,0.184,1
0.688,0.546,0.861,0.743,0.456,0.485,1
0.716,0.541,0.197,0.342,0.443,0.214,1
0.264,0.303,0.309,0.576,0.871,0.633,0
0.374,0.247,0.952,0.425,0.574,0.701,1
0.866,0.327,0.306,0.447,0.733,0.363,1
0.169,0.917,0.493,0.719,0.478,0.637,0
0.303,0.455,0.577,0.597,0.413,0.405,0
0.042,0.515,0.56,0.494,0.32,0.769,0
0.498,0.577,0.338,0.31,0.483,0.346,1
0.813,0.433,0.667,0.332,0.688,0.675,1
0.617,0.315,0.191,0.362,0.566,0.245,1
0.213,0.249,0.545,0.75,0.685,0.038,0
0.522,0.87,0.612,0.09,0.441,0.352,0
0.532,0.76,0.154,0.482,0.299,0.854,0
0.42,0.419,0.587,0.78,0.61,0.582,1
0.311,0.521,0.92,0.452,0.4,0.467,1
0.397,0.093,0.417,0.146,0.56,0.248,1
0.449,0.174,0.684,0.791,0.113,0.37,1
0.339,0.585,0.457,0.369,0.899,0.589,0
0.755,0.453,0.58,0.413,0.318,0.495,1
0.674,0.697,0.914,0.381,0.534,0.327,1
0.253,0.609,0.985,0.666,0.495,0.401,1
0.683,0.578,0.657,0.403,0.538,0.413,1
0.397,0.72,0.735,0.432,0.176,0.6,1
0.673,0.351,0.54,0.276,0.559,0.093,1
0.289,0.219,0.599,0.397,0.692,0.734,0
0.812,0.485,0.586,0.263,0.356,0.762,1
0.478,0.414,0.692,0.325,0.087,0.463,1
0.411,0.477,0.822,0.512,0.582,0.418,1
0.562,0.443,0.777,0.11,0.392,0.568,0
0.713,0.503,0.45,0.426,0.797,0.82,1
0.586,0.484,0.255,0.886,0.39,0.596,1
0.818,0.84,0.511,0.79,0.737,0.263,0
0.255,0.471,0.751,0.151,0.809,0.798,1
0.917,0.926,0.149,0.812,0.316,0.334,0
0.185,0.283,0.489,0.156,0.509,0.589,0
0.322,0.408,0.595,0.512,0.25,0.173,0
0.106,0.497,0.931,0.689,0.396,0.681,1
0.793,0.776,0.699,0.493,0.533,0.211,1
0.366,0.669,0.936,0.432,0.506,0.107,1
0.87,0.866,0.358,0.509,0.338,0.381,1
0.852,0.756,0.969,0.127,0.352,0.738,0
0.668,0.748,0.827,0.725,0.776,0.42,1
0.292,0.411,0.836,0.54,0.574,0.476,1
0.258,0.077,0.384,0.361,0.818,0.376,1
0.293,0.267,0.676,0.677,0.281,0.546,1
0.372,0.753,0.688,0.478,0.231,0.537,0
0.734,0.833,0.793,0.414,0.553,0.454,0
0.951,0.532,0.615,0.398,0.456,0.249,1
0.156,0.336,0.557,0.586,0.369,0.318,0
0.177,0.371,0.558,0.73,0.618,0.888,1
0.915,0.615,0.424,0.613,0.157,0.624,0
0.674,0.869,0.973,0.645,0.511,0.348,1
0.813,0.69,0.937,0.408,0.586,0.558,1
0.547,0.506,0.846,0.596,0.27,0.66,1
0.17,0.281,0.776,0.301,0.331,0.649,0
0.509,0.224,0.684,0.531,0.628,0.686,1
0.048,0.702,0.844,0.277,0.268,0.19,0
0.437,0.222,0.559,0.793,0.317,0.115,1
0.929,0.334,0.233,0.241,0.415,0.181,1
